id;lec_date;last_updated_on;last_updated_by;start_time;end_time
1;2020-01-19;2020-01-19;Macao red;mindshare panel metrics;contextually-based Assistant engage
2;2020-01-19;2020-01-19;Monitored Checking Account;Massachusetts Money Market Account bus;Ouguiya
3;2020-01-19;2020-01-19;Djibouti Franc Generic Frozen Pants;Analyst Loaf Avon;uniform SAS
4;2020-01-18;2020-01-19;pixel;sensor Savings Account;Field
5;2020-01-19;2020-01-19;copying Villages Borders;payment Tonga Granite;Computer Web
6;2020-01-19;2020-01-19;virtual;Rustic Granite Shirt;Factors capacitor infrastructures
7;2020-01-19;2020-01-19;Industrial;withdrawal modular Oklahoma;web services
8;2020-01-19;2020-01-19;invoice Face to face sensor;Technician Kids e-business;Sleek
9;2020-01-19;2020-01-19;recontextualize;synthesize;Developer digital overriding
10;2020-01-19;2020-01-19;eyeballs;Lead;RAM Developer
