id;user_id;academic_year_id;college_id;branch_id;department_id;course_id;semester_id;batch_id;section_id;class_id
1;calculate;4360;17711;99455;94045;46994;95392;27956;91486;88349
2;back up Factors;33075;42818;55276;96665;57229;96361;98033;85300;7534
3;functionalities;19091;85113;26847;31692;48527;16949;37268;55680;39469
4;calculating Intranet Ergonomic Concrete Soap;67114;99005;35864;14008;25416;51832;29529;87737;32255
5;calculating Metal array;55281;29359;29651;80936;41978;81011;25620;86707;61151
6;Sleek Beauty Auto Loan Account;19427;64996;7094;70196;39678;79579;5076;89000;88661
7;Tools California;43847;57828;67202;3594;32815;46559;15504;54264;98184
8;generating;86040;3050;25025;3734;3883;82260;30326;36019;53708
9;interface;82786;76999;27154;21582;96525;62289;45726;8534;84202
10;sky blue;41135;54063;69951;63742;13835;72609;13274;97585;96953
